iter	Passed	Remaining
612	1469	927
613	1471	925
614	1474	922
615	1475	920
616	1478	917
617	1480	914
618	1481	912
619	1483	909
620	1486	906
621	1488	904
622	1490	901
623	1492	899
624	1494	896
625	1496	893
626	1498	891
627	1500	888
628	1502	886
629	1504	883
630	1506	880
631	1508	878
632	1510	875
633	1512	873
634	1514	870
635	1516	867
636	1518	865
637	1520	862
638	1522	860
639	1523	857
640	1525	854
641	1527	851
642	1529	849
643	1531	846
644	1533	844
645	1535	841
646	1537	838
647	1539	836
648	1541	833
649	1543	831
650	1545	828
651	1547	826
652	1549	823
653	1551	820
654	1553	818
655	1555	815
656	1557	813
657	1559	810
658	1561	808
659	1563	805
660	1565	803
661	1567	800
662	1569	797
663	1571	795
664	1574	792
665	1576	790
666	1578	787
667	1580	785
668	1582	782
669	1584	780
670	1586	777
671	1588	775
672	1590	772
673	1592	770
674	1594	767
675	1596	765
676	1598	762
677	1600	760
678	1602	757
679	1604	755
680	1606	752
681	1608	750
682	1610	747
683	1612	745
684	1614	742
685	1616	740
686	1618	737
687	1620	735
688	1622	732
689	1625	730
690	1626	727
691	1628	725
692	1630	722
693	1632	719
694	1634	717
695	1636	714
696	1639	712
697	1640	709
698	1643	707
699	1645	705
700	1647	702
701	1649	700
702	1651	697
703	1653	695
704	1655	692
705	1657	690
706	1659	687
707	1661	685
708	1663	682
709	1665	680
710	1667	677
711	1669	675
712	1671	672
713	1673	670
714	1675	667
715	1677	665
716	1679	662
717	1681	660
718	1683	657
719	1685	655
720	1687	653
721	1689	650
722	1691	648
723	1693	645
724	1695	643
725	1697	640
726	1699	638
727	1701	635
728	1703	633
729	1705	630
730	1707	628
731	1709	625
732	1711	623
733	1713	620
734	1715	618
735	1717	616
736	1719	613
737	1721	611
738	1723	608
739	1725	606
740	1727	603
741	1729	601
742	1731	599
743	1733	596
744	1735	594
745	1737	591
746	1739	589
747	1742	586
748	1744	584
749	1745	581
750	1748	579
751	1750	577
752	1752	574
753	1754	572
754	1756	569
755	1758	567
756	1760	565
757	1762	562
758	1764	560
759	1766	557
760	1768	555
761	1770	552
762	1772	550
763	1774	548
764	1776	545
765	1778	543
766	1780	540
767	1782	538
768	1784	535
769	1786	533
770	1788	531
771	1790	528
772	1792	526
773	1794	523
774	1796	521
775	1798	519
776	1800	516
777	1802	514
778	1804	511
779	1806	509
780	1808	507
781	1810	504
782	1812	502
783	1814	499
784	1816	497
785	1818	494
786	1820	492
787	1822	490
788	1824	487
789	1826	485
790	1828	483
791	1830	480
792	1832	478
793	1834	475
794	1836	473
795	1838	471
796	1840	468
797	1842	466
798	1845	464
799	1847	461
800	1849	459
801	1851	457
802	1853	454
803	1855	452
804	1858	450
805	1860	447
806	1862	445
807	1864	442
808	1866	440
809	1868	438
810	1870	435
811	1872	433
812	1874	431
813	1876	428
814	1878	426
815	1880	424
816	1882	421
817	1884	419
818	1886	417
819	1888	414
820	1891	412
821	1893	409
822	1894	407
823	1896	405
824	1899	402
825	1901	400
826	1903	398
827	1905	395
828	1907	393
829	1909	391
830	1911	388
831	1913	386
832	1915	384
833	1917	381
834	1919	379
835	1921	376
836	1923	374
837	1925	372
838	1927	369
839	1929	367
840	1931	365
841	1933	362
842	1935	360
843	1937	358
844	1939	355
845	1941	353
846	1943	351
847	1945	348
848	1948	346
849	1950	344
850	1952	341
851	1954	339
